Date,Price,Open,High,Low,index,Change %
7/3/2013,1252.3,1242.65,1260.71,1237.05,2721,0.79%
7/4/2013,1250.3,1251.3,1257.82,1245.4,2720,-0.16%
7/5/2013,1223.8,1249.28,1250.86,1207.99,2719,-2.12%
7/8/2013,1237,1223.21,1239.41,1215.95,2718,1.08%
7/9/2013,1249.95,1237.4,1261.02,1233.9,2717,1.05%
7/10/2013,1264.25,1250.5,1266.22,1244.47,2716,1.14%
7/11/2013,1285.3,1264.8,1298.97,1278.81,2715,1.67%
7/12/2013,1284.9,1286.67,1288.86,1267.9,2714,-0.03%
7/15/2013,1282.6,1285.45,1294.32,1276.26,2713,-0.18%
7/16/2013,1292.6,1282.3,1295.95,1277.56,2712,0.78%
7/17/2013,1276,1293,1297.61,1274.21,2711,-1.28%
